filename,total_detected,num_items_detected,num_text_blocks,avg_confidence,has_tax,has_discount,has_cash,has_change
receipt_00000.png,60000.0,2,15,0.8909353733062744,True,True,False,False
receipt_00001.png,91000.0,0,10,0.8880107462406158,False,False,True,False
receipt_00002.png,,4,15,0.899537718296051,False,False,True,True
receipt_00003.png,11000.0,1,13,0.9414271070406988,False,False,True,False
receipt_00004.png,23400.0,4,31,0.694139975693918,False,False,True,True
receipt_00005.png,31000.0,3,11,0.9719046625224027,False,True,True,False
receipt_00006.png,46000.0,3,15,0.8110276778539022,False,False,True,False
receipt_00007.png,111000.0,3,12,0.8310445100069046,False,False,False,False
receipt_00008.png,50000.0,3,18,0.9071853790018294,True,False,False,False
receipt_00009.png,36000.0,2,10,0.9506110548973083,False,True,True,False
receipt_00010.png,17000.0,2,14,0.8975803138954299,False,False,False,False
receipt_00011.png,230000.0,0,7,0.9676603334290641,False,False,True,False
receipt_00012.png,,1,15,0.7493137339750926,False,True,False,False
receipt_00013.png,,1,25,0.566755803823471,False,False,False,False
receipt_00014.png,238000.0,8,30,0.8206115697820981,True,False,True,True
receipt_00015.png,63000.0,2,13,0.9297752196972187,False,False,True,False
receipt_00016.png,70000.0,6,24,0.9069077049692472,True,False,False,True
receipt_00017.png,,2,29,0.9233631676641004,False,False,False,False
receipt_00018.png,,1,9,0.917372034655677,False,False,True,False
receipt_00019.png,176030.0,1,11,0.6673203733834353,True,False,False,False
receipt_00020.png,,2,31,0.5314765817696049,False,False,False,False
receipt_00021.png,38000.0,0,12,0.9307408084472021,False,False,False,False
receipt_00022.png,40000.0,1,12,0.8599396323164304,False,False,True,True
receipt_00023.png,63000.0,2,10,0.9633313536643981,False,False,True,True
receipt_00024.png,118000.0,1,17,0.7354750081020243,False,False,False,False
receipt_00025.png,43000.0,3,14,0.8667258386101041,False,False,True,True
receipt_00026.png,,0,26,0.8775662481784821,False,False,False,False
receipt_00027.png,61600.0,4,13,0.9755735626587501,True,False,False,False
receipt_00028.png,426195.0,4,20,0.9168838202953339,False,True,False,False
receipt_00029.png,132636.0,5,32,0.7956148870289326,True,False,False,False
receipt_00030.png,31500.0,3,12,0.9448372572660446,False,False,True,True
receipt_00031.png,,1,15,0.9044790397087733,True,True,False,False
receipt_00032.png,24000.0,2,14,0.855525298842362,False,False,True,False
receipt_00033.png,148127.0,3,16,0.9443246312439442,True,True,False,False
receipt_00034.png,93500.0,3,18,0.7939167941610018,False,False,True,False
receipt_00035.png,5000.0,4,14,0.9393642927919116,False,False,True,True
receipt_00036.png,,1,17,0.623641328776584,False,False,True,True
receipt_00037.png,20000.0,1,12,0.7247789427638054,False,False,True,False
receipt_00038.png,664329.0,10,28,0.8563974510346141,True,False,False,False
receipt_00039.png,,3,24,0.7360257481535276,False,False,False,False
receipt_00040.png,,0,16,0.6851045321673155,False,True,True,True
receipt_00041.png,,2,26,0.9663673066175901,False,False,False,False
receipt_00042.png,15000.0,2,14,0.892783196909087,False,False,False,True
receipt_00043.png,,1,19,0.851185718649312,False,False,False,False
receipt_00044.png,30000.0,2,10,0.8888792514801025,False,False,True,False
receipt_00045.png,88000.0,1,18,0.9105152073833678,False,False,True,False
receipt_00046.png,40000.0,0,14,0.9274364092520305,False,False,True,False
receipt_00047.png,,0,22,0.9252004636959597,False,True,False,False
receipt_00048.png,25000.0,0,14,0.9573776253632137,True,False,True,True
receipt_00049.png,23000.0,2,15,0.841044423977534,False,False,True,True
receipt_00050.png,19500.0,1,16,0.7195076625794172,False,False,False,False
receipt_00051.png,334000.0,7,31,0.9400461912155151,False,False,False,False
receipt_00052.png,40000.0,2,16,0.9682973623275757,False,False,True,False
receipt_00053.png,123585.0,2,17,0.8937302214257857,False,False,False,False
receipt_00054.png,10000.0,1,9,0.9409802489810519,False,False,True,False
receipt_00055.png,5000.0,3,8,0.9612603411078453,False,False,False,False
receipt_00056.png,8181.0,1,12,0.9293435662984848,True,False,True,False
receipt_00057.png,,2,6,0.8499750097592672,False,False,False,False
receipt_00058.png,40500.0,3,14,0.9289434552192688,True,False,True,False
receipt_00059.png,680500.0,2,33,0.7594330834619927,True,True,False,False
receipt_00060.png,26250.0,1,17,0.9531744543243857,False,False,False,False
receipt_00061.png,24500.0,4,44,0.9019989743828773,False,True,False,False
receipt_00062.png,48000.0,3,14,0.9132924037320274,False,False,True,False
receipt_00063.png,57000.0,1,20,0.9368211247026921,False,False,True,True
receipt_00064.png,15000.0,2,8,0.9452830106019974,False,False,False,True
receipt_00065.png,13000.0,1,9,0.9066984885268741,False,False,False,False
receipt_00066.png,36364.0,2,17,0.7724748981349608,False,False,True,False
receipt_00067.png,,0,11,0.8885486396876249,False,False,False,False
receipt_00068.png,,1,8,0.9127480089664459,False,False,True,False
receipt_00069.png,74000.0,3,14,0.9400258106844765,False,False,False,True
receipt_00070.png,1343000.0,8,43,0.8878593881462895,True,False,False,False
receipt_00071.png,198000.0,2,9,0.9158389700783623,False,False,True,False
receipt_00072.png,17500.0,1,16,0.8784608393907547,True,False,False,True
receipt_00073.png,,0,17,0.8933424160760992,False,False,True,False
receipt_00074.png,330264.0,6,22,0.9368537799878554,True,False,False,False
receipt_00075.png,256363.0,8,18,0.8495073517163595,True,False,False,False
receipt_00076.png,,5,13,0.9184768016521747,False,False,False,False
receipt_00077.png,17000.0,3,12,0.8732691444456577,False,False,False,False
receipt_00078.png,,1,10,0.9714667201042175,False,False,True,False
receipt_00079.png,22000.0,1,14,0.8086780958942005,False,False,False,False
receipt_00080.png,25000.0,1,14,0.8551462377820697,False,False,False,False
receipt_00081.png,50000.0,0,14,0.8756540587970189,False,False,False,False
receipt_00082.png,385000.0,3,24,0.9161559045314789,False,False,False,False
receipt_00083.png,23000.0,3,12,0.8964695433775584,False,False,False,False
receipt_00084.png,,0,17,0.9259425875018624,True,False,False,False
receipt_00085.png,197450.0,8,36,0.895514304853148,False,False,True,False
receipt_00086.png,22000.0,2,16,0.8567679487168789,False,False,True,True
receipt_00087.png,10150.0,1,21,0.5845239999748412,False,False,False,False
receipt_00088.png,47000.0,3,18,0.8976240331927935,False,False,False,False
receipt_00089.png,,2,10,0.8533007085323334,False,False,True,True
receipt_00090.png,29500.0,1,15,0.9475088834762573,True,False,True,False
receipt_00091.png,,1,14,0.7172964747462954,False,False,True,False
receipt_00092.png,,1,15,0.7926127344369889,False,False,True,True
receipt_00093.png,17999.0,3,13,0.771981608409148,False,False,False,False
receipt_00094.png,140063.0,1,33,0.8506135949582765,False,False,False,False
receipt_00095.png,62000.0,0,18,0.8876876251565086,True,False,False,False
receipt_00096.png,,0,10,0.8315438002347946,False,False,True,True
receipt_00097.png,55000.0,2,23,0.7615897208452225,False,False,True,False
receipt_00098.png,,7,34,0.9131556039347368,True,False,False,False
receipt_00099.png,75000.0,4,45,0.9124526527192858,True,True,True,True
receipt_00000.png,,5,94,0.7853054286951714,False,True,False,False
receipt_00001.png,52815.0,5,28,0.8042601613061768,True,False,False,False
receipt_00002.png,334000.0,5,24,0.9609059244394302,False,True,True,False
receipt_00003.png,302016.0,3,21,0.8535487595058623,True,True,False,False
receipt_00004.png,48000.0,2,17,0.8431643221308204,True,False,True,False
receipt_00005.png,,5,30,0.6692007541656494,True,False,False,False
receipt_00006.png,,0,20,0.8593227937817574,True,False,False,False
